id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,date
f6mv7n,idSGnp,dbp,aaos,Inverse variance weighted (fixed effects),49,0.03472913714983791,0.02013512028735603,0.0845627904709574,2018-10-12
f6mv7n,idSGnp,dbp,aaos,Weighted median,49,0.0012971651851657684,0.031222208144356393,0.9668604347482868,2018-10-12
f6mv7n,idSGnp,dbp,aaos,Weighted mode,49,0.005179544769824185,0.03152657001393566,0.87019162516661,2018-10-12
f6mv7n,idSGnp,dbp,aaos,MR Egger,49,-0.0174909232133329,0.0413766574213383,0.6744241786793514,2018-10-12
