id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,date
wrQ1Yg,cv9ERi,hipv,sbp,Inverse variance weighted (fixed effects),1436,-0.0011185075587692623,9.958517863001936e-4,0.2613667048745874,2018-10-05
wrQ1Yg,cv9ERi,hipv,sbp,Weighted median,1436,6.632643646060081e-4,0.0016194573418658086,0.6821290092428193,2018-10-05
wrQ1Yg,cv9ERi,hipv,sbp,Weighted mode,1436,0.006098181964322019,0.005070091790686842,0.22926163649857828,2018-10-05
wrQ1Yg,cv9ERi,hipv,sbp,MR Egger,1436,0.0036625582719086672,0.0029022862487081717,0.2071697422414135,2018-10-05
