id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,date
P2CWZo,1B7BUR,npany,dbp,Inverse variance weighted (fixed effects),1136,0.012562229953523865,0.01778968484983827,0.48009332265977683,2019-04-04
P2CWZo,1B7BUR,npany,dbp,Weighted median,1136,-0.0010551878210513523,0.028193919061094922,0.9701452797936627,2019-04-04
P2CWZo,1B7BUR,npany,dbp,Weighted mode,1136,-0.042761979480584245,0.05985685960682708,0.4751243007821824,2019-04-04
P2CWZo,1B7BUR,npany,dbp,MR Egger,1136,-8.955589939184136e-4,0.043920169862829976,0.9837353626021587,2019-04-04
