id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,date
iutGdE,DSLRvN,nft4,smki,Inverse variance weighted (fixed effects),470,-0.32419969575666807,0.25003939583646934,0.19477075918222256,2019-01-29
iutGdE,DSLRvN,nft4,smki,Weighted median,470,-0.612112225117852,0.3680212326468114,0.0962619080620081,2019-01-29
iutGdE,DSLRvN,nft4,smki,Weighted mode,470,-1.271314010810272,1.175478991191701,0.2800178805114232,2019-01-29
iutGdE,DSLRvN,nft4,smki,MR Egger,470,0.12208915190929086,1.0159366877084233,0.9043969044005935,2019-01-29
