id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,date
HYxC5x,7EtQKp,loadKunkle,tc,Inverse variance weighted (fixed effects),405,0.5151156779387257,0.02242755810270245,9.744010851854173e-117,2019-03-27
HYxC5x,7EtQKp,loadKunkle,tc,Weighted median,405,0.053598075339653356,0.04714598834751634,0.255599591623797,2019-03-27
HYxC5x,7EtQKp,loadKunkle,tc,Weighted mode,405,-0.01908601577075686,0.05934471617158734,0.747912434416341,2019-03-27
HYxC5x,7EtQKp,loadKunkle,tc,MR Egger,405,1.074805725227502,0.14409686680502065,5.406132552840031e-13,2019-03-27
